dataset,dataelement,shortname,code,categoryoptioncombo,dataelementuid,categoryoptioncombouid
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesLactulose 3.35g/5ml, Oral Solution, 300ml, Bot_L/A_Comments","hsp-Essential MedicinesLactulose 3.35g/5ml, O20",,default,k2b4xrKtMXt,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesLamotrigine 25mg, Tab_L/A_Comments","hsp-Essential MedicinesLamotrigine 25mg, Tab_149",,default,gcAHXaJ3vex,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesMetoclopramide HCl 5mg/ml, Inj, 2ml, Amp_L/A_Comments",hsp-Essential MedicinesMetoclopramide HCl 5mg23,,default,eNhmtA4j0zU,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesMetronidazole 5mg/ml, IV Inj, 100ml, Vial_L/A_Comments","hsp-Essential MedicinesMetronidazole 5mg/ml, 82",,default,me9ivHpr8jW,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesMorphine Sulphate 10mg, Tab_L/A_Comments",hsp-Essential MedicinesMorphine Sulphate 10mg13,,default,gVWIPVMHRoz,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesMorphine Sulphate 10mg/ml, Inj, 2ml, Amp_L/A_Comments",hsp-Essential MedicinesMorphine Sulphate 10mg106,,default,xiwey5Le5R8,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesPethidine HCl 50mg/ml, Inj, 1ml, Amp_L/A_Comments","hsp-Essential MedicinesPethidine HCl 50mg/ml,173",,default,Wrk1zW9Ri3x,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesPhenobarbital (Phenobarbitone) 200mg/ml, Inj, 1ml, Amp_L/A_Comments",hsp-Essential MedicinesPhenobarbital (Phenoba143,,default,w2gd6RmbM4P,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesPhenytoin Sodium 50mg/ml, Inj, 5ml, Vial_L/A_Comments",hsp-Essential MedicinesPhenytoin Sodium 50mg/139,,default,jU2e2YCiA8x,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesSilver Sulphadiazine 1%, Cream, 50g, Tube_L/A_Comments",hsp-Essential MedicinesSilver Sulphadiazine 131,,default,U4TiBK8ECVX,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesSodium Valproate 200mg, Tab_L/A_Comments",hsp-Essential MedicinesSodium Valproate 200mg164,,default,HvDRLce3EzA,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesSuxamethonium 50mg/ml, Inj, 2ml, Amp_L/A_Comments","hsp-Essential MedicinesSuxamethonium 50mg/ml,19",,default,IfIJRjXsSlE,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesTetracycline 1%, Eye Ointment_L/A_Comments","hsp-Essential MedicinesTetracycline 1%, Eye O160",,default,cuZXLS0rMAL,p6gxExvVbwI
RRIV_hsp_Essential Medicine,"hsp-Essential MedicinesVitamin K (Phytomenadione) 10mg/ml, Inj_L/A_Comments",hsp-Essential MedicinesVitamin K (Phytomenadi58,,default,qTLkcpSVmKS,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 120mg & 60mg, Tab - Closing Balance (E)",Abac&Lam 120mg & 60mg Tab - (E),,default,SLCHCHIV280,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 120mg & 60mg, Tab - Days Out of Stock (F)",Abac&Lam 120mg & 60mg Tab - (F),,default,SLCHCHIV289,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 120mg & 60mg, Tab - Losses / Adjustments (C)",Abac&Lam 120mg & 60mg Tab - (C),,default,SLCHCHIV262,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 120mg & 60mg, Tab - Opening Balance (A)",Abac&Lam 120mg & 60mg Tab - (A),,default,SLCHCHIV244,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 120mg & 60mg, Tab - Quantity Dispensed (D)",Abac&Lam 120mg & 60mg Tab - (D),,default,SLCHCHIV271,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 120mg & 60mg, Tab - Quantity Received (B)",Abac&Lam 120mg & 60mg Tab - (B),,default,SLCHCHIV253,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 120mg & 60mg, Tab - Stockout",Abac&Lam 120mg & 60mg Tab - SO_0,,default,SLCHCHIV316,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 600mg & 300mg, Tab - Closing Balance (E)",Abac&Lam 600mg & 300mg Tab - (E),,default,SLCHCHIV109,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 600mg & 300mg, Tab - Days Out of Stock (F)",Abac&Lam 600mg & 300mg Tab - (F),,default,SLCHCHIV136,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 600mg & 300mg, Tab - Losses / Adjustments (C)",Abac&Lam 600mg & 300mg Tab - (C),,default,SLCHCHIV055,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 600mg & 300mg, Tab - Opening Balance (A)",Abac&Lam 600mg & 300mg Tab - (A),,default,SLCHCHIV001,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 600mg & 300mg, Tab - Quantity Dispensed (D)",Abac&Lam 600mg & 300mg Tab -(D),,default,SLCHCHIV082,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 600mg & 300mg, Tab - Quantity Received (B)",Abac&Lam 600mg & 300mg Tab - (B),,default,SLCHCHIV028,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 600mg & 300mg, Tab - Stockout",Abac&Lam 600mg & 300mg Tab - SO_0,,default,SLCHCHIV217,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 60mg & 30mg, Tab - Closing Balance (E)",Abac&Lam 60mg & 30mg Tab - (E),,default,SLCHCHIV110,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 60mg & 30mg, Tab - Days Out of Stock (F)",Abac&Lam 60mg & 30mg Tab - (F),,default,SLCHCHIV137,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 60mg & 30mg, Tab - Losses / Adjustments (C)",Abac&Lam 60mg & 30mg Tab - (C),,default,SLCHCHIV056,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 60mg & 30mg, Tab - Opening Balance (A)",Abac&Lam 60mg & 30mg Tab - (A),,default,SLCHCHIV002,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 60mg & 30mg, Tab - Quantity Dispensed (D)",Abac&Lam 60mg & 30mg Tab -(D),,default,SLCHCHIV083,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 60mg & 30mg, Tab - Quantity Received (B)",Abac&Lam 60mg & 30mg Tab - (B),,default,SLCHCHIV029,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Abacavir & Lamivudine 60mg & 30mg, Tab - Stockout",Abac&Lam 60mg & 30mg Tab - SO_0,,default,SLCHCHIV218,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Atazanavir & Ritonavir 300mg & 100mg, Tab - Closing Balance (E)",Ataz& Rit 300&100mg Tab - (E),,default,SLCHCHIV111,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Atazanavir & Ritonavir 300mg & 100mg, Tab - Days Out of Stock (F)",Ataz& Rit 300&100mg Tab - (F),,default,SLCHCHIV138,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Atazanavir & Ritonavir 300mg & 100mg, Tab - Losses / Adjustments (C)",Ataz& Rit 300&100mg Tab - (C),,default,SLCHCHIV057,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Atazanavir & Ritonavir 300mg & 100mg, Tab - Opening Balance (A)",Ataz& Rit 300&100mg Tab - (A),,default,SLCHCHIV003,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Atazanavir & Ritonavir 300mg & 100mg, Tab - Quantity Dispensed (D)",Ataz& Rit 300&100mg Tab -(D),,default,SLCHCHIV084,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Atazanavir & Ritonavir 300mg & 100mg, Tab - Quantity Received (B)",Ataz& Rit 300&100mg Tab - (B),,default,SLCHCHIV030,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Atazanavir & Ritonavir 300mg & 100mg, Tab - Stockout",Ataz& Rit 300&100mg Tab - SO_0,,default,SLCHCHIV219,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Abacavir & Lamivudine 120mg & 60mg, Tab - 3 months",Abac&Lam 120mg & 60mg Tab - AMC 3,,default,SLCHCHIV298,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Abacavir & Lamivudine 120mg & 60mg, Tab - 6 months",Abac&Lam 120mg & 60mg Tab - AMC 6,,default,SLCHCHIV307,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Abacavir & Lamivudine 600mg & 300mg, Tab- 3 Months",AMC 4 Abac&Lam 600mg & 300mg Tab- 3 Ms,,default,SLCHCHIV163,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Abacavir & Lamivudine 600mg & 300mg, Tab- 6 Months",AMC 4 Abac&Lam 600mg & 300mg Tab- 6 Ms,,default,SLCHCHIV190,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Abacavir & Lamivudine 60mg & 30mg, Tab- 3 Months",AMC 4 Abac&Lam 60mg & 30mg Tab- 3 Ms,,default,SLCHCHIV164,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Abacavir & Lamivudine 60mg & 30mg, Tab- 6 Months",AMC 4 Abac&Lam 60mg & 30mg Tab- 6 Ms,,default,SLCHCHIV191,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Atazanavir & Ritonavir 300mg & 100mg, Tab- 3 Months",AMC 4 Ataz& Rit 300&100mg Tab- 3 Ms,,default,SLCHCHIV165,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Atazanavir & Ritonavir 300mg & 100mg, Tab- 6 Months",AMC 4 Ataz& Rit 300&100mg Tab- 6 Ms,,default,SLCHCHIV192,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Average Month Consumption for Cepheid EID Test Kit - Xpert HIV-1 Qual - 3 months,Cepheid EID test - AMC 3,,default,SLCHCHIV299,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Average Month Consumption for Cepheid EID Test Kit - Xpert HIV-1 Qual - 6 months,Cepheid EID test - AMC 6,,default,SLCHCHIV308,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Average Month Consumption for Cepheid Viral Load Test Kit - Xpert HIV-1 - 3 months,Cepheid Viral Load Test - AMC 3,,default,SLCHCHIV300,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Average Month Consumption for Cepheid Viral Load Test Kit - Xpert HIV-1 - 6 months,Cepheid Viral Load Test - AMC 6,,default,SLCHCHIV309,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400 & 80mg, Tab - 3 months",C-Trima(Sulf&Trime) 400/80mg - AMC 3,,default,SLCHCHIV301,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400 & 80mg, Tab - 6 months",C-Trima(Sulf&Trime) 400/80mg - AMC 6,,default,SLCHCHIV310,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for DBS Sample Collection Kits for Viral Load and EID, Pcs - 3 months","DBS SC Kits, Viral Load EID - AMC 3",,default,SLCHCHIV302,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for DBS Sample Collection Kits for Viral Load and EID, Pcs - 6 months","DBS SC Kits, Viral Load EID - AMC 6",,default,SLCHCHIV311,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Dapsone 50mg, Tab- 3 Months",AMC 4 Dapsone 50mg Tab- 3 Ms,,default,SLCHCHIV166,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Dapsone 50mg, Tab- 6 Months",AMC 4 Dapsone 50mg Tab- 6 Ms,,default,SLCHCHIV193,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Dolutegravir 50mg, Tab - 3 months",Dolutegravir 50mg - AMC 3,,default,SLCHCHIV303,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Dolutegravir 50mg, Tab - 6 months",Dolutegravir 50mg - AMC 6,,default,SLCHCHIV312,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Efavirenz 200mg, Tab- 3 Months",AMC 4 Efavirenz 200mg Tab- 3 Ms,,default,SLCHCHIV167,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Efavirenz 200mg, Tab- 6 Months",AMC 4 Efavirenz 200mg Tab- 6 Ms,,default,SLCHCHIV194,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Efavirenz 600mg, Tab- 3 Months",AMC 4 Efavirenz 600mg Tab- 3 Ms,,default,SLCHCHIV168,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Efavirenz 600mg, Tab- 6 Months",AMC 4 Efavirenz 600mg Tab- 6 Ms,,default,SLCHCHIV195,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for HIV 1 & 2 Rapid Test Kit, Determine- 3 Months",AMC 4 HIV 1 & 2 RTK Determine- 3 Ms,,default,SLCHCHIV169,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for HIV 1 & 2 Rapid Test Kit, Determine- 6 Months",AMC 4 HIV 1 & 2 RTK Determine- 6 Ms,,default,SLCHCHIV196,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for HIV 1 & 2 Rapid Test Kit, SD Bioline- 3 Months",AMC 4 HIV 1 & 2 RTK SD Bioline- 3 Ms,,default,SLCHCHIV170,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for HIV 1 & 2 Rapid Test Kit, SD Bioline- 6 Months",AMC 4 HIV 1 & 2 RTK SD Bioline- 6 Ms,,default,SLCHCHIV197,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for HIV 1 & 2 Rapid Test Kit, Unigold- 3 Months",AMC 4 HIV 1 & 2 RTK Unigold- 3 Ms,,default,SLCHCHIV171,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for HIV 1 & 2 Rapid Test Kit, Unigold- 6 Months",AMC 4 HIV 1 & 2 RTK Unigold- 6 Ms,,default,SLCHCHIV198,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for HIV/Syphilis Duo Test, SD Bioline- 3 Months",AMC 4 HIV/Syphilis Duo Test SD Bioline- 3 Ms,,default,SLCHCHIV172,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for HIV/Syphilis Duo Test, SD Bioline- 6 Months",AMC 4 HIV/Syphilis Duo Test SD Bioline- 6 Ms,,default,SLCHCHIV199,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Lopinavir & Ritonavir 100mg & 25mg, Tab- 3 Months",AMC 4 Lop&Rit 100mg & 25mg Tab- 3 Ms,,default,SLCHCHIV173,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Lopinavir & Ritonavir 100mg & 25mg, Tab- 6 Months",AMC 4 Lop&Rit 100mg & 25mg Tab- 6 Ms,,default,SLCHCHIV200,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Lopinavir & Ritonavir 200mg & 50mg, Tab- 3 Months",AMC 4 Lop&Rit 200mg & 50mg Tab- 3 Ms,,default,SLCHCHIV174,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Lopinavir & Ritonavir 200mg & 50mg, Tab- 6 Months",AMC 4 Lop&Rit 200mg & 50mg Tab- 6 Ms,,default,SLCHCHIV201,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Lopinavir & Ritonavir 40mg & 10mg, Sachets - 3 months",LopRitonavir 40/10mg - AMC 3,,default,SLCHCHIV304,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Lopinavir & Ritonavir 40mg & 10mg, Sachets - 6 months",LopRitonavir 40/10mg - AMC 6,,default,SLCHCHIV313,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Lopinavir & Ritonavir 80mg/ml & 20mg/ml, Syr, 60ml, Bot- 3 Months",AMC 4 Lop&Rit 80& 20mg/ml Syr60ml Bt- 3 Ms,,default,SLCHCHIV175,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Lopinavir & Ritonavir 80mg/ml & 20mg/ml, Syr, 60ml, Bot- 6 Months",AMC 4 Lop&Rit 80& 20mg/ml Syr60ml Bt- 6 Ms,,default,SLCHCHIV202,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Nevirapine 50mg, Tab- 3 Months",AMC 4 Nev 50mg Tab- 3 Ms,,default,SLCHCHIV177,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Nevirapine 50mg, Tab- 6 Months",AMC 4 Nev 50mg Tab- 6 Ms,,default,SLCHCHIV204,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Nevirapine 50mg/5ml, Syr, 100ml, Bot- 3 Months",AMC 4 Nev 50mg/5ml Syr 100ml Bot- 3 Ms,,default,SLCHCHIV176,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Nevirapine 50mg/5ml, Syr, 100ml, Bot- 6 Months",AMC 4 Nev 50mg/5ml Syr 100ml Bot- 6 Ms,,default,SLCHCHIV203,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Ritonavir 100mg, Tab- 3 Months",AMC 4 Ritonavir 100mg Tab- 3 Ms,,default,SLCHCHIV182,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Ritonavir 100mg, Tab- 6 Months",AMC 4 Ritonavir 100mg Tab- 6 Ms,,default,SLCHCHIV209,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Tenofovir & Lamivudine & Dolutegravir 300mg & 300mg & 50mg, Tab - 3 months",TenofLamivuDolu 300/300/50mg - AMC 3,,default,SLCHCHIV306,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Tenofovir & Lamivudine & Dolutegravir 300mg & 300mg & 50mg, Tab - 6 months",TenofLamivuDolu 300/300/50mg - AMC 6,,default,SLCHCHIV315,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Tenofovir & Lamivudine & Efavirenz 300mg & 300mg & 400mg, Tab - 3 months",TenofLamivuEfav 300/300/400mg - AMC 3,,default,SLCHCHIV305,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Tenofovir & Lamivudine & Efavirenz 300mg & 300mg & 400mg, Tab - 6 months",TenofLamivuEfav 300/300/400mg - AMC 6,,default,SLCHCHIV314,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Tenofovir & Lamivudine & Efavirenz 300mg & 300mg & 600mg, Tab- 3 Months",AMC 4 Ten& Lam& Efav 300&300&600mg Tab- 3 Ms,,default,SLCHCHIV184,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Tenofovir & Lamivudine & Efavirenz 300mg & 300mg & 600mg, Tab- 6 Months",AMC 4 Ten& Lam& Efav 300&300&600mg Tab- 6 Ms,,default,SLCHCHIV211,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Tenofovir & Lamivudine 300mg & 300mg, Tab- 3 Months",AMC 4 Ten &Lam 300mg & 300mg Tab- 3 Ms,,default,SLCHCHIV183,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Tenofovir & Lamivudine 300mg & 300mg, Tab- 6 Months",AMC 4 Ten &Lam 300mg & 300mg Tab- 6 Ms,,default,SLCHCHIV210,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Zidovudine & Lamivudine & Abacavir 300mg & 150mg & 300mg, Tab- 3 Months",AMC 4 Zid & Lam&Ab300&150&300mg Tab- 3 Ms,,default,SLCHCHIV187,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Zidovudine & Lamivudine & Abacavir 300mg & 150mg & 300mg, Tab- 6 Months",AMC 4 Zid & Lam&Ab300&150&300mg Tab- 6 Ms,,default,SLCHCHIV214,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Zidovudine & Lamivudine & Nevirapine 300mg & 150mg & 200mg, Tab- 3 Months",AMC 4 Zid&Lam & Nev 300&150&200mg Tab- 3 Ms,,default,SLCHCHIV188,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Zidovudine & Lamivudine & Nevirapine 300mg & 150mg & 200mg, Tab- 6 Months",AMC 4 Zid&Lam & Nev 300& 150&200mg Tab- 6 Ms,,default,SLCHCHIV215,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Zidovudine & Lamivudine & Nevirapine 60mg & 30mg & 50mg, Tab- 3 Months",AMC 4 Zid&Lam & Nev 60& 30&50mg Tab- 3 Ms,,default,SLCHCHIV189,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Zidovudine & Lamivudine & Nevirapine 60mg & 30mg & 50mg, Tab- 6 Months",AMC 4 Zid&Lam & Nev 60&30&50mg Tab- 6 Ms,,default,SLCHCHIV216,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Zidovudine & Lamivudine 300mg & 150mg, Tab- 3 Months",AMC 4 Zid&Lam 300mg & 150mg Tab- 3 Ms,,default,SLCHCHIV185,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Zidovudine & Lamivudine 300mg & 150mg, Tab- 6 Months",AMC 4 Zid&Lam 300mg & 150mg Tab- 6 Ms,,default,SLCHCHIV212,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Zidovudine & Lamivudine 60mg & 30mg, Tab- 3 Months",AMC 4 Zid&Lam 60mg & 30mg Tab- 3 Ms,,default,SLCHCHIV186,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Month Consumption for Zidovudine & Lamivudine 60mg & 30mg, Tab- 6 Months",AMC 4 Zid&Lam 60mg & 30mg Tab- 6 Ms,,default,SLCHCHIV213,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Monthly Consumption for PIMA CD4 Test, Cartridge, Pcs - 3 Months","AMC4 PIMA CD4 Test, Cartridge, Pcs - 3 Ms",,default,SLCHCHIV179,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Monthly Consumption for PIMA CD4 Test, Cartridge, Pcs - 6 Months","AMC4 PIMA CD4 Test, Cartridge, Pcs - 6 Ms",,default,SLCHCHIV206,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Monthly Consumption for PIMA CD4 Test, Sample Collection, Finger Stick, Pcs - 3 Months","AMC4 PIMA CD4 Test, Smp Col, Fng Stck, Pcs - 3 Ms",,default,SLCHCHIV181,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Average Monthly Consumption for PIMA CD4 Test, Sample Collection, Finger Stick, Pcs - 6 Months","AMC4 PIMA CD4 Test, Smp Col, Fng Stck, Pcs - 6 Ms",,default,SLCHCHIV208,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid EID Test Kit - Xpert HIV-1 Qual - Closing Balance (E),Cepheid EID test - (E),,default,SLCHCHIV281,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid EID Test Kit - Xpert HIV-1 Qual - Days Out of Stock (F),Cepheid EID test - (F),,default,SLCHCHIV290,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid EID Test Kit - Xpert HIV-1 Qual - Losses / Adjustments (C),Cepheid EID test - (C),,default,SLCHCHIV263,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid EID Test Kit - Xpert HIV-1 Qual - Opening Balance (A),Cepheid EID test - (A),,default,SLCHCHIV245,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid EID Test Kit - Xpert HIV-1 Qual - Quantity Dispensed (D),Cepheid EID test - (D),,default,SLCHCHIV272,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid EID Test Kit - Xpert HIV-1 Qual - Quantity Received (B),Cepheid EID test - (B),,default,SLCHCHIV254,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid EID Test Kit - Xpert HIV-1 Qual - Stockout,Cepheid EID test - SO_0,,default,SLCHCHIV317,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid Viral Load Test Kit - Xpert HIV-1 - Closing Balance (E),Cepheid Viral Load Test - (E),,default,SLCHCHIV282,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid Viral Load Test Kit - Xpert HIV-1 - Days Out of Stock (F),Cepheid Viral Load Test - (F),,default,SLCHCHIV291,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid Viral Load Test Kit - Xpert HIV-1 - Losses / Adjustments (C),Cepheid Viral Load Test - (C),,default,SLCHCHIV264,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid Viral Load Test Kit - Xpert HIV-1 - Opening Balance (A),Cepheid Viral Load Test - (A),,default,SLCHCHIV246,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid Viral Load Test Kit - Xpert HIV-1 - Quantity Dispensed (D),Cepheid Viral Load Test - (D),,default,SLCHCHIV273,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid Viral Load Test Kit - Xpert HIV-1 - Quantity Received (B),Cepheid Viral Load Test - (B),,default,SLCHCHIV255,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,Cepheid Viral Load Test Kit - Xpert HIV-1 - Stockout,Cepheid Viral Load Test - SO_0,,default,SLCHCHIV318,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400 & 80mg, Tab - Closing Balance (E)",C-Trima(Sulf&Trime) 400/80mg - (E),,default,SLCHCHIV283,p6gxExvVbwI
RRIV_hsp_HIV/AIDS,"Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400 & 80mg, Tab - Days Out of Stock (F)",C-Trima(Sulf&Trime) 400/80mg - (F),,default,SLCHCHIV292,p6gxExvVbwI
